Id	Name	Name.NCBI	entrez	product	ctrl4	ctrl5	ctrl6	IP1	IP2	IP3	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
gene0	SAOUHSC_00001	ABD29192.1	3919798	"chromosomal replication initiator protein DnaA"	14094	19538	3983	20639	17017	13167	132303270153441	185265528403089	285611544904471	648662603835062	516556480943684	604749050860898
gene1	SAOUHSC_00002	ABD29193.1	3919799	"DNA polymerase III beta subunit"	12111	15005	2112	15939	12157	11127	970331727840492	350954193798878	170702140669092	205594488987228	397878285334318	696032601454409
gene10	SAOUHSC_00012	ABD29202.1	3919184	"conserved hypothetical protein"	1156	2751	299	208	175	171	67554861736796	-294820245061627	325775924704006	-904978614762573	"1	43248607608958E-05"	"0	000384243323939323"
gene100	SAOUHSC_00107	ABD29288.1	3919816	"conserved hypothetical protein"	1832	2369	530	2228	1813	1587	157941918419815	-211330835615273	29327220809973	-720596189405741	942554462061655	956538949629336
gene1000	SAOUHSC_01039	ABD30159.1	3919887	"conserved hypothetical protein"	5621	6283	260	3481	2167	2103	248956106334191	-427324898793409	483852838447423	-883171214133208	377143771981392	47074149641473
gene1001	SAOUHSC_01040	ABD30160.1	3919888	"pyruvate dehydrogenase complex E1 component alpha subunit putative"	33028	21592	7494	36644	33929	25383	243438222400763	285558936830078	379746045385603	751973431454999	452067036498141	543433836493371
gene1002	SAOUHSC_01041	ABD30161.1	3919889	"pyruvate dehydrogenase complex E1 component pyruvate dehydrogenase beta subunit putative"	26372	15058	12824	28799	24628	19305	232876230513098	-384435764607594	58804537643105	-653751870205666	513271679253908	602191815797038
gene1003	SAOUHSC_01042	ABD30162.1	3919890	"dihydrolipoamide S-acetyltransferase component of pyruvate dehydrogenase complex E2 putative"	55673	34717	18732	59089	53073	39566	435669287577068	-904925619722997	481312288554828	-188012157852877	850867120550567	888539099933722
gene1004	SAOUHSC_01043	ABD30163.1	3919891	"dihydrolipoamide dehydrogenase"	80812	36926	13066	81667	65065	52240	492986265268195	338662232470608	409957492132589	826091092295678	408752420313553	50082696908996
gene1005	SAOUHSC_01044	ABD30164.1	3919892	"conserved hypothetical protein"	1002	1316	239	807	641	538	678602196577813	-542257292854333	2423509452798	-223748783908511	252544732584784	473586283997238
gene1006	SAOUHSC_01045	ABD30165.1	3919893	"conserved hypothetical protein"	1383	2243	98	1396	1489	1334	103724267804514	432306185664087	442337937878749	97732106754675	328410226345791	422241719587445
gene1007	SAOUHSC_01046	ABD30166.1	3919894	"ABC transporter domain protein"	1945	3299	148	2624	2908	2459	177064741025338	817113213056087	437498669662734	186769302335478	618048716532631	102421640728848
gene1008	SAOUHSC_01047	ABD30167.1	3919895	"spermidine/putrescine ABC transporter permease protein putative"	653	1050	88	1174	1160	1185	733477786329232	106996018976966	301051782520496	355407359096709	379313058841505	110671267020086
gene1009	SAOUHSC_01048	ABD30168.1	3919896	"spermidine/putrescine ABC transporter permease protein putative"	1291	1845	108	2516	2412	2441	143954628810841	137627098115332	376633292721625	365414053337695	258044908628481	77840228225747
gene101	SAOUHSC_00108	ABD29289.1	3919817	"conserved hypothetical protein"	5	18	0	24	14	14	939514463435632	131297451286006	807877673736751	162521450405609	104116861014389	160346700206288
gene1010	SAOUHSC_01049	ABD30169.1	3921714	"spermidine/putrescine ABC transporter spermidine/putrescine-binding protein putative"	4973	5903	4233	6681	6222	5655	661211982627035	-619591173984813	622068729764818	-996017231438491	319241772889009	413955208826696
gene1011	SAOUHSC_01050	ABD30170.1	3921715	"conserved hypothetical protein"	32213	47986	6471	38284	28783	30241	262436486428757	9584731679408	199878416835543	479528096687606	631562984982356	708219495362103
gene1012	SAOUHSC_01051	ABD30171.1	3921716	"conserved hypothetical protein"	3643	5040	609	1256	870	674	169812039839522	-177898675785436	234105578850976	-759907887110544	"2	98245975974364"	"47	4419180387128"
gene1013	SAOUHSC_01053	ABD30172.1	3921717	"conserved hypothetical protein"	2980	3979	445	2087	1452	1376	170424967883255	-599713144142261	21092148567375	-284330039790203	446489661096626	101125472910627
