# Program:featureCounts v1.4.6-p3; Command:"/opt/subread/bin/featureCounts" "-t" "exon" "-g" "gene_id" "-a" "genome/ncbi_dataset/data/GCF_000013425.1/genomic_exons.gtf" "-o" "featureCounts_files/mini_SRR10379723_counts.txt" "bowtie_files/mini_SRR10379723.sam" 
Geneid	Chr	Start	End	Strand	Length	bowtie_files/mini_SRR10379723.sam
gene-SAOUHSC_T00018	NC_007795.1	24157	24231	+	75	0
gene-SAOUHSC_T00011	NC_007795.1	24239	24311	+	73	0
gene-SAOUHSC_T00048	NC_007795.1	439581	439673	+	93	1
gene-SAOUHSC_R0001	NC_007795.1	448819	450374	+	1556	1
gene-SAOUHSC_R0006	NC_007795.1	450739	453661	+	2923	2
gene-SAOUHSC_R00011	NC_007795.1	453734	453847	+	114	0
gene-SAOUHSC_R00016	NC_007795.1	492125	492239	+	115	0
gene-SAOUHSC_T00059	NC_007795.1	492252	492327	+	76	0
gene-SAOUHSC_T00053	NC_007795.1	492344	492419	+	76	0
gene-SAOUHSC_T00035	NC_007795.1	492426	492498	+	73	0
gene-SAOUHSC_T00021	NC_007795.1	492532	492606	+	75	0
gene-SAOUHSC_T00030	NC_007795.1	492614	492702	+	89	0
gene-SAOUHSC_T0004	NC_007795.1	492708	492784	+	77	1
gene-SAOUHSC_T00044	NC_007795.1	492805	492878	+	74	0
gene-SAOUHSC_T0001	NC_007795.1	492902	492977	+	76	0
gene-SAOUHSC_R0002	NC_007795.1	493099	494653	+	1555	0
gene-SAOUHSC_R0007	NC_007795.1	495018	497940	+	2923	2
gene-SAOUHSC_R00012	NC_007795.1	498013	498127	+	115	0
gene-SAOUHSC_T0005	NC_007795.1	772155	772226	-	72	0
gene-SAOUHSC_T00049	NC_007795.1	938623	938711	-	89	0
gene-SAOUHSC_T0008	NC_007795.1	938714	938788	-	75	0
gene-SAOUHSC_T0006	NC_007795.1	1088006	1088079	-	74	0
gene-SAOUHSC_T00050	NC_007795.1	1864312	1864400	-	89	0
gene-SAOUHSC_T00019	NC_007795.1	1864455	1864526	-	72	0
gene-SAOUHSC_T0009	NC_007795.1	1864528	1864602	-	75	0
gene-SAOUHSC_T00022	NC_007795.1	1864617	1864690	-	74	0
gene-SAOUHSC_T00026	NC_007795.1	1864706	1864781	-	76	1
gene-SAOUHSC_T00042	NC_007795.1	1864795	1864867	-	73	1
gene-SAOUHSC_T00012	NC_007795.1	1864884	1864959	-	76	1
gene-SAOUHSC_T00038	NC_007795.1	1864981	1865054	-	74	0
gene-SAOUHSC_T00031	NC_007795.1	1898905	1898988	-	84	0
gene-SAOUHSC_T00046	NC_007795.1	1899027	1899101	-	75	0
gene-SAOUHSC_T00047	NC_007795.1	1899115	1899189	-	75	1
gene-SAOUHSC_T00023	NC_007795.1	1899205	1899279	-	75	0
gene-SAOUHSC_T00015	NC_007795.1	1899287	1899360	-	74	0
gene-SAOUHSC_T00016	NC_007795.1	1899366	1899437	-	72	0
gene-SAOUHSC_T00027	NC_007795.1	1899449	1899521	-	73	0
gene-SAOUHSC_T00056	NC_007795.1	1899524	1899597	-	74	3
gene-SAOUHSC_T00057	NC_007795.1	1899613	1899693	-	81	2
gene-SAOUHSC_T00054	NC_007795.1	1899699	1899774	-	76	1
gene-SAOUHSC_T00043	NC_007795.1	1899782	1899854	-	73	0
gene-SAOUHSC_T00013	NC_007795.1	1899873	1899948	-	76	0
gene-SAOUHSC_T00039	NC_007795.1	1899958	1900031	-	74	2
gene-SAOUHSC_T00051	NC_007795.1	1900046	1900138	-	93	1
gene-SAOUHSC_T00014	NC_007795.1	1900177	1900252	-	76	0
gene-SAOUHSC_T00052	NC_007795.1	1900263	1900352	-	90	0
gene-SAOUHSC_T00040	NC_007795.1	1900362	1900435	-	74	0
gene-SAOUHSC_T00041	NC_007795.1	1900461	1900537	-	77	2
gene-SAOUHSC_T0002	NC_007795.1	1900559	1900634	-	76	0
gene-SAOUHSC_T00045	NC_007795.1	1900652	1900725	-	74	0
gene-SAOUHSC_T0007	NC_007795.1	1900735	1900808	-	74	4
gene-SAOUHSC_T00032	NC_007795.1	1900827	1900915	-	89	0
gene-SAOUHSC_T00024	NC_007795.1	1900926	1901000	-	75	0
gene-SAOUHSC_T00033	NC_007795.1	1901004	1901085	-	82	3
gene-SAOUHSC_T00036	NC_007795.1	1901089	1901164	-	76	0
